tau_multiplier,top_k,population_share,tp_hits,precision_at_k,cumulative_recall,lift_vs_random
0.50x,1000,0.0006667111140742716,494,0.494,0.2668827660723933,400.29746083198273
0.50x,2000,0.0013334222281485431,724,0.362,0.391139924365208,293.33538627768775
0.50x,3000,0.002000133342222815,940,0.31333333333333335,0.5078336034575905,253.89987394201333
0.50x,5000,0.003333555570371358,1270,0.254,0.6861156131820637,205.82096164235548
0.50x,10000,0.006667111140742716,1731,0.1731,0.9351701782820098,140.26617504051865
0.75x,1000,0.0006667111140742716,484,0.484,0.2614802809292274,392.19427336574824
0.75x,2000,0.0013334222281485431,724,0.362,0.391139924365208,293.33538627768775
0.75x,3000,0.002000133342222815,944,0.31466666666666665,0.5099945975148569,254.98029893751124
0.75x,5000,0.003333555570371358,1278,0.2556,0.6904376012965965,207.11747163695298
0.75x,10000,0.006667111140742716,1737,0.1737,0.9384116693679092,140.7523662884927
1.00x,1000,0.0006667111140742716,491,0.491,0.26526202052944353,397.8665045921124
1.00x,2000,0.0013334222281485431,737,0.3685,0.3981631550513236,298.60245813074016
1.00x,3000,0.002000133342222815,922,0.30733333333333335,0.49810913019989195,249.03796146227265
1.00x,5000,0.003333555570371358,1280,0.256,0.6915180983252296,207.4415991356024
1.00x,10000,0.006667111140742716,1736,0.1736,0.9378714208535927,140.67133441383038
1.25x,1000,0.0006667111140742716,479,0.479,0.25877903835764454,388.142679632631
1.25x,2000,0.0013334222281485431,720,0.36,0.3889789303079417,291.7147487844408
1.25x,3000,0.002000133342222815,918,0.306,0.4959481361426256,247.9575364667747
1.25x,5000,0.003333555570371358,1245,0.249,0.6726094003241491,201.76936790923824
1.25x,10000,0.006667111140742716,1733,0.1733,0.9362506753106429,140.42823878984333
1.50x,1000,0.0006667111140742716,496,0.496,0.26796326310102647,401.9180983252296
1.50x,2000,0.0013334222281485431,730,0.365,0.3943814154511075,295.7663425175581
1.50x,3000,0.002000133342222815,938,0.31266666666666665,0.5067531064289573,253.35966144426436
1.50x,5000,0.003333555570371358,1284,0.2568,0.6936790923824959,208.0898541329011
1.50x,10000,0.006667111140742716,1734,0.1734,0.9367909238249594,140.50927066450566
